Title,Price_INR,Rating
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,4311.3,One
Poems That Make Grown Women Cry,1489.95,Four
"Nightingale, Sing",4019.4,One
Night Sky with Exit Wounds,4310.25,One
Mrs. Houdini,3176.25,Five
Modern Romance,2967.3,Five
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),1129.8,One
Louisa: The Extraordinary Life of Mrs. Adams,1769.25,Two
Little Red,1414.35,Three
Library of Souls (Miss Peregrineâs Peculiar Children #3),5098.8,Five
Large Print Heart of the Pride,2010.75,Two
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,6022.8,Four
Hollow City (Miss Peregrineâs Peculiar Children #2),4512.9,One
Grumbles,2326.8,Two
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,5190.15,Four
Frostbite (Vampire Academy #2),3148.95,Five
Follow You Home,2242.8,One
First Steps for New Christians (Print Edition),3045.0,One
Finders Keepers (Bill Hodges Trilogy #2),5620.65,Five
"Fables, Vol. 1: Legends in Exile (Fables #1)",4370.1,Four
Eureka Trivia 6.0,5731.95,Four
Drive: The Surprising Truth About What Motivates Us,3669.75,Four
Done Rubbed Out (Reightman & Bailey #1),3960.6,Five
Doing It Over (Most Likely To #1),3739.05,Three
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",4426.8,Three
Dark Notes,2014.95,Five
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",2040.15,Three
Close to You,5193.3,Four
Chasing Heaven: What Dying Taught Me About Living,3969.0,Two
Big Magic: Creative Living Beyond Fear,3234.0,Three
Becoming Wise: An Inquiry into the Mystery and Art of Living,2880.15,Two
Beauty Restored (Riley Family Legacy Novellas #3),1166.55,Two
Batman: The Long Halloween (Batman),3832.5,Two
Batman: The Dark Knight Returns (Batman),1614.9,Five
Ayumi's Violin,1625.4,Two
Anonymous,4916.1,Four
Amy Meets the Saints and Sages,1938.3,Three
Amid the Chaos,3840.9,One
Amatus,5306.7,Five
Agnostic: A Spirited Manifesto,1313.55,Five
Zealot: The Life and Times of Jesus of Nazareth,2593.5,Three
You (You #1),4579.05,Five
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",3920.7,Four
Wild Swans,1507.8,Two
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,5528.25,Four
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,4011.0,Four
What's It Like in Space?: Stories from Astronauts Who've Been There,2058.0,Two
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",5659.5,One
Walt Disney's Alice in Wonderland,1360.8,Five
V for Vendetta (V for Vendetta Complete),3895.5,Four
Until Friday Night (The Field Party #1),4862.55,Two
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4824.75,Two
Twenty Yawns,2318.4,Two
Through the Woods,2664.9,Two
This Is Where It Ends,2847.6,Two
The Year of Magical Thinking,4519.2,Two
The Wright Brothers,5964.0,Four
The White Queen (The Cousins' War #1),2720.55,Five
The Wedding Pact (The O'Malleys #2),3424.05,Three
The Time Keeper,2927.4,Five
The Testament of Mary,5530.35,Four
The Star-Touched Queen,4832.1,Five
The Songs of the Gods,4670.4,Five
The Song of Achilles,3927.0,Five
The Rosie Project (Don Tillman #1),5674.2,One
The Power of Habit: Why We Do What We Do in Life and Business,1772.4,Three
The Marriage of Opposites,2948.4,Four
The Lucifer Effect: Understanding How Good People Turn Evil,1092.0,One
The Long Haul (Diary of a Wimpy Kid #9),4627.35,One
The Loney,2457.0,One
The Literature Book (Big Ideas Simply Explained),1830.15,Three
The Last Mile (Amos Decker #2),5692.05,Two
The Immortal Life of Henrietta Lacks,4270.35,Two
The Hidden Oracle (The Trials of Apollo #1),5487.3,Two
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,3020.85,Three
The Guilty (Will Robie #4),1451.1,Two
The First Hostage (J.B. Collins #2),2714.25,Three
The Dovekeepers,5121.9,One
The Darkest Lie,3711.75,Five
The Bane Chronicles (The Bane Chronicles #1-11),4696.65,Four
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,1655.85,One
The 14th Colony (Cotton Malone #11),4120.2,One
That Darkness (Gardiner and Renner #1),1461.6,One
Tastes Like Fear (DI Marnie Rome #3),1122.45,One
Take Me with You,4747.05,Three
Swell: A Year of Waves,4785.9,One
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),1248.45,Five
Still Life with Bread Crumbs,2773.05,Three
Steve Jobs,4147.5,Five
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,4697.7,Four
Someone Like You (The Harrisons #2),5542.95,Five
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",3720.15,Four
Shtum,5863.2,Four
See America: A Celebration of Our National Parks & Treasured Sites,5131.35,Three
salt.,4911.9,Four
Robin War,5021.1,Three
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",2675.4,Two
Rain Fish,2474.85,Three
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",5343.45,Five
Pet Sematary,1108.8,Three
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",5475.75,Three
Once Was a Time,1919.4,Two
Old School (Diary of a Wimpy Kid #10),1242.15,Five
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,2304.75,Two
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",4030.95,Two
My Name Is Lucy Barton,4363.8,One
My Mrs. Brown,2570.4,Three
My Kind of Crazy,4237.8,One
Mr. Mercedes (Bill Hodges Trilogy #1),3034.5,One
More Than Music (Chasing the Dream #1),3949.05,Two
Made to Stick: Why Some Ideas Survive and Others Die,4079.25,Five
Luis Paints the World,5664.75,Three
Luckiest Girl Alive,5232.15,Three
Lowriders to the Center of the Earth (Lowriders in Space #2),5408.55,Two
Love Is a Mix Tape (Music #1),1893.15,One
Looking for Lovely: Collecting the Moments that Matter,3059.7,Five
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",4925.55,Four
Let It Out: A Journey Through Journaling,2812.95,Five
Lady Midnight (The Dark Artifices #1),1709.4,Five
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",2052.75,One
Island of Dragons (Unwanteds #7),3113.25,One
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,2727.9,Four
I Am Pilgrim (Pilgrim #1),1113.0,Four
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",1548.75,Five
"Hush, Hush (Hush, Hush #1)",4937.1,Three
Hold Your Breath (Search and Rescue #1),3026.1,One
Hamilton: The Revolution,6172.95,Three
Greek Mythic History,1074.15,Five
God: The Most Unpleasant Character in All Fiction,3153.15,Five
Glory over Everything: Beyond The Kitchen House,4813.2,Three
Feathers: Displays of Brilliant Plumage,5150.25,Three
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",1581.3,Four
Every Last Word,4879.35,Three
Eligible (The Austen Project #4),2844.45,Three
El Deafo,6050.1,Five
Eight Hundred Grapes,1510.95,Four
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",5433.75,Five
"Eat Fat, Get Thin",5677.35,Two
Don't Get Caught,5811.75,One
Doctor Sleep (The Shining #2),4212.6,Two
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),3938.55,Five
Dear Mr. Knightley,1177.05,Five
Daily Fantasy Sports,3840.9,One
Crazy Love: Overwhelmed by a Relentless God,5010.6,Two
Cometh the Hour (The Clifton Chronicles #6),2626.05,Three
Code Name Verity (Code Name Verity #1),2323.65,Four
Clockwork Angel (The Infernal Devices #1),4634.7,One
City of Glass (The Mortal Instruments #3),5882.1,Four
City of Fallen Angels (The Mortal Instruments #4),1179.15,Four
City of Bones (The Mortal Instruments #1),4544.4,One
City of Ashes (The Mortal Instruments #2),4963.35,One
Cell,2130.45,Four
Catching Jordan (Hundred Oaks),5337.15,Three
"Carry On, Warrior: Thoughts on Life Unarmed",3344.25,Three
Carrie,4854.15,Two
Buying In: The Secret Dialogue Between What We Buy and Who We Are,3969.0,Four
Brain on Fire: My Month of Madness,5178.6,Five
Batman: Europa,3361.05,Two
Barefoot Contessa Back to Basics,2941.05,One
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,5315.1,Five
Balloon Animals,1788.15,Three
Art Ops Vol. 1,5124.0,Three
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),6104.7,Four
Angels Walking (Angels Walking #1),3591.0,Two
Angels & Demons (Robert Langdon #1),5405.4,Three
All the Light We Cannot See,3136.35,Five
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",1144.5,Two
Abstract City,5918.85,Five
A Time of Torment (Charlie Parker #14),5076.75,Five
A Study in Scarlet (Sherlock Holmes #1),1756.65,Two
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",5930.4,Two
A People's History of the United States,4282.95,Two
A Man Called Ove,4170.6,One
A Distant Mirror: The Calamitous 14th Century,1530.9,Three
A Brush of Wings (Angels Walking #3),5828.55,One
1491: New Revelations of the Americas Before Columbus,2289.0,Three
"The Three Searches, Meaning, and the Story",1399.65,Three
Searching for Meaning in Gailana,4066.65,One
Rook,3975.3,Four
My Kitchen Year: 136 Recipes That Saved My Life,1210.65,Two
13 Hours: The Inside Account of What Really Happened In Benghazi,2841.3,One
Will You Won't You Want Me?,1455.3,Three
Tipping Point for Planet Earth: How Close Are We to the Edge?,3942.75,One
The Star-Touched Queen,3391.5,Five
The Silent Sister (Riley MacPherson #1),4860.45,Five
The Midnight Watch: A Novel of the Titanic and the Californian,2751.0,One
The Lonely City: Adventures in the Art of Being Alone,3492.3,Two
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,6210.75,Four
The Golden Condom: And Other Essays on Love Lost and Found,4140.15,One
The Epidemic (The Program 0.6),1516.2,Five
The Dinner Party,5936.7,Two
The Diary of a Young Girl,6289.5,Three
The Children,1247.4,Three
Stars Above (The Lunar Chronicles #4.5),5045.25,Two
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,2227.05,Three
Raspberry Pi Electronics Projects for the Evil Genius,5215.35,Four
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,4529.7,One
Psycho: Sanitarium (Psycho #1.5),3881.85,Five
Poisonous (Max Revere Novels #3),2814.0,Three
One with You (Crossfire #5),1649.55,Four
No Love Allowed (Dodge Cove #1),5738.25,Four
Murder at the 42nd Street Library (Raymond Ambler #1),5707.8,Four
Most Wanted,3704.4,Three
"Love, Lies and Spies",2157.75,Two
How to Speak Golf: An Illustrated Guide to Links Lingo,6123.6,Five
Hide Away (Eve Duncan #20),1243.2,One
Furiously Happy: A Funny Book About Horrible Things,4353.3,Four
Everyday Italian: 125 Simple and Delicious Recipes,2110.5,Five
Equal Is Unfair: America's Misguided Fight Against Income Inequality,5970.3,One
Eleanor & Park,5933.55,Five
Dirty (Dive Bar #1),4287.15,Four
Can You Keep a Secret? (Fear Street Relaunch #4),5107.2,One
Boar Island (Anna Pigeon #19),6245.4,Three
A Paris Apartment,4096.05,Four
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",4070.85,One
Troublemaker: Surviving Hollywood and Scientology,5080.95,Two
The Widow,2862.3,Two
"The Sleep Revolution: Transforming Your Life, One Night at a Time",1226.4,Four
The Improbability of Love,6242.25,One
The Art of Startup Fundraising,2205.0,Three
Take Me Home Tonight (Rock Star Romance #3),5667.9,Three
Sleeping Giants (Themis Files #1),5117.7,One
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",2220.75,Two
Playing with Fire,1439.55,Three
Off the Hook (Fishing for Trouble #1),5005.35,Three
Mothering Sunday,1400.7,Two
"Mother, Can You Not?",1773.45,Five
M Train,2853.9,One
Lilac Girls,1814.4,Two
Lies and Other Acts of Love,4739.7,One
Lab Girl,4289.25,One
Keep Me Posted,2148.3,Four
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,5908.35,Three
Grey (Fifty Shades #4),5091.45,Four
"Exit, Pursued by a Bear",5390.7,Four
Daredevils,1715.7,Three
Cravings: Recipes for What You Want to Eat,2152.5,Three
Born for This: How to Find the Work You Were Meant to Do,2266.95,Five
Arena,2242.8,Four
Adultery,2192.4,Five
A Mother's Reckoning: Living in the Aftermath of Tragedy,2050.65,Three
A Gentleman's Position (Society of Gentlemen #3),1548.75,Five
11/22/63,5090.4,Three
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",2579.85,Two
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,5219.55,Five
Without Shame,5068.35,Five
Watchmen,6095.25,Four
Unlimited Intuition Now,6181.35,Four
Underlying Notes,1241.1,Two
The Shack,2943.15,One
The New Brand You: Your New Image Makes the Sale for You,4625.25,Five
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",1295.7,Four
The Flowers Lied,1751.4,Two
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",5870.55,One
The Book of Mormon,2579.85,Three
The Art and Science of Low Carbohydrate Living,5562.9,Five
The Alien Club,5712.0,One
Suzie Snowflake: One beautiful flake (a self-esteem story),5755.05,Five
Nap-a-Roo,2633.4,One
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",1093.05,Four
Modern Day Fables,4981.2,Two
If I Gave You God's Phone Number....: Searching for Spirituality in America,2195.55,One
"Fruits Basket, Vol. 9 (Fruits Basket #9)",3564.75,Four
Dress Your Family in Corduroy and Denim,4586.4,Three
Don't Forget Steven,3489.15,One
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,3771.6,Two
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,5106.15,Four
A Shard of Ice (The Black Symphony Saga #1),5946.15,Three
A Hero's Curse (The Unseen Chronicles #1),5301.45,Three
23 Degrees South: A Tropical Tale of Changing Whether...,3757.95,Two
"Zero to One: Notes on Startups, or How to Build the Future",3576.3,Three
Why Not Me?,1864.8,One
When Breath Becomes Air,4132.8,Two
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,3878.7,Two
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),4580.1,Five
The New Drawing on the Right Side of the Brain,4517.1,Three
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",2987.25,Four
The Martian (The Martian #1),4345.95,Two
The High Mountains of Portugal,5370.75,One
The Grownup,3767.4,One
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,3875.55,One
South of Sunshine,3037.65,One
Smarter Faster Better: The Secrets of Being Productive in Life and Business,4083.45,Five
Silence in the Dark (Logan Point #4),6124.65,Three
Shadows of the Past (Logan Point #1),4165.35,Five
Roller Girl,1480.5,Five
Rising Strong,2291.1,Three
Proofs of God: Classical Arguments from Tertullian to Barth,5692.05,One
Please Kill Me: The Uncensored Oral History of Punk,3274.95,Four
Out of Print: City Lights Spotlight No. 14,5632.2,Five
My Life Next Door (My Life Next Door ),3820.95,Five
Miller's Valley,6146.7,Two
Man's Search for Meaning,3095.4,Three
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",2631.3,Two
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,1317.75,Three
Les Fleurs du Mal,3049.2,Five
Left Behind (Left Behind #1),4275.6,Two
Kill 'Em and Leave: Searching for James Brown and the American Soul,4730.25,Five
Kierkegaard: A Christian Missionary to Christians,4948.65,One
John Vassos: Industrial Design for Modern Life,2123.1,Four
I'll Give You the Sun,5930.4,One
I Will Find You,4642.05,One
Hystopia: A Novel,2305.8,Four
Howl and Other Poems,4247.25,Two
History of Beauty,1080.45,Four
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,5550.3,Two
Future Shock (Future Shock #1),5843.25,Five
Ender's Game (The Ender Quintet #1),4582.2,One
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,2983.05,One
Death by Leisure: A Cautionary Tale,3938.55,Four
Brilliant Beacons: A History of the American Lighthouse,1202.25,Three
Brazen: The Courage to Find the You That's Been Hiding,2018.1,Two
Between the World and Me,5975.55,Four
Being Mortal: Medicine and What Matters in the End,5781.3,Four
"A Murder Over a Girl: Justice, Gender, Junior High",1386.0,Three
32 Yolks,5631.15,Two
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",4670.4,Five
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,1268.4,Three
Wildlife of New York: A Five-Borough Coloring Book,2324.7,Two
What Happened on Beale Street (Secrets of the South Mysteries #2),2663.85,Five
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,4864.65,Two
